[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:16 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957112, 'exchange_timestamp': 1733200996000, 'last_traded_price': 2434390, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:16 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957579, 'exchange_timestamp': 1733200996000, 'last_traded_price': 2434355, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:17 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3957885, 'exchange_timestamp': 1733200997000, 'last_traded_price': 2434400, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:17 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3958350, 'exchange_timestamp': 1733200997000, 'last_traded_price': 2434320, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:18 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3958687, 'exchange_timestamp': 1733200998000, 'last_traded_price': 2434345, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:18 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3959148, 'exchange_timestamp': 1733200998000, 'last_traded_price': 2434375, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:19 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3959462, 'exchange_timestamp': 1733200999000, 'last_traded_price': 2434360, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:19 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3959912, 'exchange_timestamp': 1733200999000, 'last_traded_price': 2434330, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:20 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3960218, 'exchange_timestamp': 1733201000000, 'last_traded_price': 2434340, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:20 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3960761, 'exchange_timestamp': 1733201000000, 'last_traded_price': 2434390, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:21 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3961119, 'exchange_timestamp': 1733201001000, 'last_traded_price': 2434360, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:21 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3961609, 'exchange_timestamp': 1733201001000, 'last_traded_price': 2434380, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:22 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3961914, 'exchange_timestamp': 1733201002000, 'last_traded_price': 2434325, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:22 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3962400, 'exchange_timestamp': 1733201002000, 'last_traded_price': 2434315, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:23 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3962715, 'exchange_timestamp': 1733201003000, 'last_traded_price': 2434315, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:23 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3963167, 'exchange_timestamp': 1733201003000, 'last_traded_price': 2434280, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:24 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3963466, 'exchange_timestamp': 1733201004000, 'last_traded_price': 2434310, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:24 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3963932, 'exchange_timestamp': 1733201004000, 'last_traded_price': 2434350, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:25 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3964246, 'exchange_timestamp': 1733201005000, 'last_traded_price': 2434420, 'subscription_mode_val': 'LTP'}
